data_timestamp;rr;sd;tp;vl;lf;hf;lf%;hf%;var;low_high_ratio;wl
12:10:30;724;28.3;741;240;159;183;31.7;36.5;799;86.9;3000
12:13:00;707;28.1;703;183;167;157;32.1;30.2;787.8;106.4;3000
12:15:30;669;41.9;961;421;145;111;26.9;20.6;1751.7;130.6;3000
12:18:00;663;40.7;2115;1794;98;85;30.5;26.5;1652.8;115.3;3000
12:20:30;687;33.2;764;414;57;117;16.3;33.4;1099.7;48.7;3000
12:23:00;687;28.4;677;410;83;76;31.1;28.5;804.7;109.2;3000
12:25:30;689;26.3;579;290;101;70;34.9;24.2;690.1;144.3;3000
12:28:00;709;29.3;513;389;60;39;48.4;31.5;856.5;153.8;3000
12:30:30;733;27.5;773;495;102;74;36.7;26.6;754.4;137.8;3000
12:33:00;757;47.6;943;632;138;90;44.4;28.9;2260;153.3;3000
12:35:30;818;66.3;4584;4136;209;141;46.7;31.5;4383.8;148.2;3000
12:38:00;868;30.7;835;420;186;136;44.8;32.8;939.8;136.8;3000
12:40:30;878;30.4;911;551;165;112;45.8;31.1;921.5;147.3;3000
12:43:00;875;28.7;747;442;153;114;50.2;37.4;821.3;134.2;3000
12:45:30;875;31.2;1202;693;352;114;69.2;22.4;970.6;308.8;3000
12:48:00;883;32;939;439;277;126;55.4;25.2;1021;219.8;3000
12:50:30;891;26.3;554;322;65;127;28;54.7;689.6;51.2;3000
12:53:00;893;27.9;755;307;277;116;61.8;25.9;776.1;238.8;3000
12:55:30;898;27.4;704;347;157;138;44;38.7;748.5;113.8;3000
12:58:00;896;28;609;182;217;115;50.8;26.9;781.7;188.7;3000
13:00:30;889;27.5;628;337;130;96;44.7;33;754;135.4;3000
13:03:00;892;22;555;378;85;70;48;39.5;482.6;121.4;3000
13:05:30;889;19.3;260;103;46;88;29.3;56.1;371.4;52.3;3000
13:08:00;882;20.9;359;141;51;142;23.4;65.1;435.5;35.9;3000
13:10:30;874;28.8;465;232;73;130;31.3;55.8;827.1;56.2;3000
13:13:00;859;31.5;1486;1102;197;145;51.3;37.8;989.4;135.9;3000
13:15:30;862;23.4;387;225;49;91;30.2;56.2;546;53.8;3000
13:18:00;878;19.9;270;119;52;80;34.4;53;394.9;65;3000
13:20:30;887;16.2;213;45;57;86;33.9;51.2;261.7;66.3;3000
13:23:00;889;16.2;205;59;35;80;24;54.8;261.7;43.8;3000
13:25:30;889;16.7;213;78;38;79;28.1;58.5;278.1;48.1;3000
13:28:00;887;17.4;290;160;32;80;24.6;61.5;301.9;40;3000
13:30:30;886;16.7;221;52;59;80;34.9;47.3;278.1;73.8;3000
13:33:00;886;18.4;282;101;47;107;26;59.1;337.6;43.9;3000
13:35:30;884;21;627;425;90;92;44.6;45.5;439.7;97.8;3000
13:38:00;883;19;338;176;60;85;37;52.5;359.9;70.6;3000
13:40:30;884;17.1;260;102;41;94;25.9;59.5;291.6;43.6;3000
13:43:00;888;16;240;72;54;94;32.1;56;255.2;57.4;3000
13:45:30;889;15.7;166;28;29;91;21;65.9;245.8;31.9;3000
13:48:00;870;26.3;825;615;95;97;45.2;46.2;689.7;97.9;3000
13:50:30;858;22.7;372;189;48;113;26.2;61.7;513.8;42.5;3000
13:53:00;785;87.3;4244;3919;122;121;37.5;37.2;7601.5;100.8;3000
13:55:30;703;58.2;3403;3090;122;80;39;25.6;3379.3;152.5;3000
13:58:00;704;45.4;867;499;96;80;26.1;21.7;2056.4;120;3000
14:00:30;725;37.3;1182;890;148;82;50.7;28.1;1388;180.5;3000
14:03:00;742;45;1358;936;119;125;28.2;29.6;2020;95.2;3000
14:05:30;796;59.2;2149;1842;104;101;33.9;32.9;3495.4;103;3000
14:08:00;852;25.6;509;179;185;92;56.1;27.9;653.5;201.1;3000
14:10:30;809;59.3;4497;4294;107;60;52.7;29.6;3507.1;178.3;3000
14:13:00;775;19.3;215;108;45;38;42.1;35.5;371.5;118.4;3000
14:15:30;776;13.4;137;73;35;20;54.7;31.3;179.1;175;3000
14:18:00;757;28.5;752;489;117;73;44.5;27.8;810.2;160.3;3000
14:20:30;739;28.7;625;271;135;91;38.1;25.7;821.7;148.4;3000
14:23:00;723;31.3;594;233;119;83;33;23;977.3;143.4;3000
14:25:30;705;33.5;682;437;70;77;28.6;31.4;1119.6;90.9;3000
14:28:00;718;42.2;2009;1623;86;95;22.3;24.6;1776.6;90.5;3000
14:30:30;745;32.8;496;194;70;82;23.2;27.2;1073.2;85.4;3000
14:33:00;750;23;476;338;68;28;49.3;20.3;527.7;242.9;3000
14:35:30;755;21;333;212;64;35;52.9;28.9;439.9;182.9;3000
14:38:00;768;17.2;195;113;27;26;32.9;31.7;295.1;103.8;3000
